"rfi_id","client_id","id_legado","nome","resumo","grupo","status","horas_estimadas","valor_negociado","valor_calculado","criado_por","key_account","data_criacao","tem_narrativa","arquivo"
"RFI-2026-002","cambos","RFI-96","Cambos | RFI: Escopo - Integração Instantânea","Integração de leitura e escrita conforme demanda","Em andamento","RFI Liberada para Comercial negociar com Cliente","40","3.6-12k","R$ 12.000,00","Marina Santoro","Laura","23 de abril de 2026 14:58","True","uMode/_Clientes/Cambos/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2025-001","colmeia","RFI-16","Reservado - Colmeia","Anexo Escopo Técnico do Produto","Concluídos","RFI Cancelada","80","","R$ 24.000,00","Andre","","16 de setembro de 2025 12:21","False","uMode/_Clientes/Colmeia/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2025-001","dro","RFI-6","DRO | RFI : Escopo - Lista de Entregáveis","CNPJ Matylas","Concluídos","RFI Entregue ao Cliente","24","R$ 9.600","R$ 7.200,00","Marina Santoro","","14 de agosto de 2025 10:32","True","uMode/_Clientes/DRO/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2025-001","lenny-niemeyer","RFI-36","Lenny | RFI : Escopo - Alteração Integração","Alteração regra de negócios de integração de leitura e escrita","Concluídos","RFI Cancelada","18","R$ 2.862","R$ 5.400,00","Marina Santoro","","15 de dezembro de 2025 14:46","True","uMode/_Clientes/Lenny Niemeyer/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2026-001","lenny-niemeyer","RFI-64","Lenny | RFI : Escopo - Relatório de Auditoria de Integração","Relatório de Auditoria de Integração","Em andamento","RFI Post Mortem","","","R$ 0,00","Marina Santoro","Julianne","11 de fevereiro de 2026 12:12","True","uMode/_Clientes/Lenny Niemeyer/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","lenny-niemeyer","RFI-67","Lenny | RFI : Escopo - Relatório de Gestão de Coleção","Relatório de Gestão de Coleção (Padrão)","Concluídos","RFI Cancelada","","","R$ 0,00","Marina Santoro","","19 de fevereiro de 2026 15:41","True","uMode/_Clientes/Lenny Niemeyer/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","lenny-niemeyer","RFI-86","Lenny | RFI : Escopo - Validação Empenho Pendente","Ops: Validação Empenho Pendente (cor 0000 ou ALTERAR COR)","Concluídos","RFI Cancelada","2","R$600","R$ 600,00","Marina Santoro","","1 de abril de 2026 17:01","True","uMode/_Clientes/Lenny Niemeyer/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2025-001","lofty-style","RFI-21","Lofty | RFI : Escopo - Integração de Imagens de MP","Integração de Imagens de MP - do Linx para uMode","A fazer","RFI Stand By","","","R$ 0,00","Marina Santoro","Laura","29 de outubro de 2025 16:49","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2025-002","lofty-style","RFI-22","Lofty | RFI : Escopo - Integração de Imagens de Produto","Integração de Imagens de Produto - da uMode para Linx","A fazer","RFI Stand By","","","R$ 0,00","Marina Santoro","Laura","29 de outubro de 2025 16:49","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2025-002.md"
"RFI-2025-003","lofty-style","RFI-28","Lofty | RFI : Escopo - Alteração Integração","Ajustes integração: varia custo cor e fator de conversão","Concluídos","RFI Entregue ao Cliente","16","R$ 2.544","R$ 4.800,00","Marina Santoro","","25 de novembro de 2025 11:44","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2025-003.md"
"RFI-2025-004","lofty-style","RFI-33","Lofty | RFI : Escopo - Integração de Imagens de Produtos (Armário 1)","Integração de Imagens de Produtos (Armário 1) - do Linx para uMode","Concluídos","RFI Cancelada","","","R$ 0,00","Marina Santoro","Laura","4 de dezembro de 2025 11:36","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2025-004.md"
"RFI-2026-001","lofty-style","RFI-51","Lofty | RFI: Escopo - Alteração de Regra para Custos de Variante","Alteração de Regra para Custos de Variante","Em andamento","RFI Post Mortem","20","R$ 2.544","R$ 6.000,00","Marina Santoro","Laura","26 de janeiro de 2026 14:56","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","lofty-style","RFI-52","Lofty | RFI : Escopo - Intervalo de Integração","Aumentar intervalo de funcionamento da integração de escrita","Concluídos","RFI Não Aceita","","","R$ 0,00","Marina Santoro","","5 de fevereiro de 2026 09:31","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","lofty-style","RFI-61","Lofty | RFI: Escopo - Ajuste do Empenho em Massa","Alterar a informação que está zerada no empenho de materiais para não se aplica.","Concluídos","RFI Cancelada","6","R$ 954","R$ 1.800,00","Laura Delgado","Laura","6 de fevereiro de 2026 10:51","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2026-004","lofty-style","RFI-62","Lofty | RFI: Escopo - Revisão Fator de Conversão","Rever Fator de Conversão","Concluídos","RFI Cancelada","16","R$ 2.544","R$ 4.800,00","Marina Santoro","Laura","6 de fevereiro de 2026 17:27","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-004.md"
"RFI-2026-005","lofty-style","RFI-79","Lofty/NK/Geral | RFI : Escopo - Custo dinamico","Tech: Rever regra de empenho sobre custo da mp","Em andamento","RFI Em Andamento","56","","R$ 16.800,00","Marina Santoro","Fernanda, Julianne, Laura","17 de março de 2026 16:27","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-005.md"
"RFI-2026-006","lofty-style","RFI-81","Lofty | RFI : Escopo - Inativar Variantes Canceladas","Tech: Mudança de Regra - Inativar Variantes Canceladas","Concluídos","RFI Cancelada","24","R$ 7.200","R$ 7.200,00","Andrea Holmer","Laura","24 de março de 2026 22:40","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-006.md"
"RFI-2026-007","lofty-style","RFI-82","Lofty | RFI : Escopo - Macroplan","Config de Macroplan","Em andamento","RFI Liberada para Comercial negociar com Cliente","10","","R$ 3.000,00","Andrea Holmer","Laura","30 de março de 2026 12:34","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-007.md"
"RFI-2026-008","lofty-style","RFI-104","Lofty | RFI: Escopo - Custo da Variante com Material por Tamanho","Custo da Variante com Material por Tamanho","Em andamento","RFI Liberada para Comercial negociar com Cliente","30","6-9k","R$ 9.000,00","Marina Santoro","Laura","5 de maio de 2026 10:55","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-008.md"
"RFI-2026-009","lofty-style","RFI-110","Lofty | RFI: Escopo - EnriqueceAI + Integração Vtex","Enriquecimento automático de catálogo (SEO + GEO) com validação por agente de IA, em fluxo VTEX → uMode → VTEX, sem intervenção humana no fluxo principal.","Em andamento","RFI Pronta para Estimar","80","24k+6.5k","R$ 24.000,00","Marina Santoro","Laura","15 de maio de 2026 14:19","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-009.md"
"RFI-2026-010","lofty-style","RFI-113","Lofty | RFI: Escopo - Campo Família - Integrado com o Linx","Integrar o campo família com o Linx (Escrita)","Em andamento","RFI Liberada para Comercial negociar com Cliente","6","","R$ 1.800,00","Laura Delgado","Laura","22 de maio de 2026 16:05","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-010.md"
"RFI-2026-011","lofty-style","RFI-118","Lofty | RFI: Escopo - Alterações na integração de escrita","Sobreescrever grupo e subrgupo quando atualizado na uFlow e tirar toda a integração relacionada a custos e preços","Em andamento","RFI Pronta para Estimar","4","","R$ 1.200,00","Marina Santoro","Laura","3 de julho de 2026 12:46","True","uMode/_Clientes/Lofty Style/00_Institucional/_rfis/RFI-2026-011.md"
"RFI-2025-001","luiza-barcelos","RFI-2","LUIZA BARCELOS | RFI : Escopo - Lista de Entregáveis","API","Concluídos","RFI Cancelada","64","","R$ 19.200,00","Marina Santoro","","14 de agosto de 2025 10:28","True","uMode/_Clientes/Luiza Barcelos/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2026-001","luiza-barcelos","RFI-75","LUIZA BARCELOS | RFI : Novo ajuste no Mapa de Linha","Macroplan","A fazer","RFI Não Iniciada","10","","R$ 3.000,00","Laura Delgado","","4 de março de 2026 15:56","True","uMode/_Clientes/Luiza Barcelos/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","luiza-barcelos","RFI-95","LUIZA BARCELOS | RFI : Enviar e-mail qdo mover produto","Envio de e-mail quando mover produto","Em andamento","RFI Liberada para Comercial negociar com Cliente","15","","R$ 4.500,00","Andrea Holmer","Laura","20 de abril de 2026 11:53","True","uMode/_Clientes/Luiza Barcelos/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","luiza-barcelos","RFI-107","LUIZA BARCELOS | RFI : Mudança das Ações do Workflow","Ações do Workflow","A fazer","RFI em Rascunho","","","R$ 0,00","Laura Delgado","Laura","8 de maio de 2026 09:11","True","uMode/_Clientes/Luiza Barcelos/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2025-001","nk-store","RFI-1","NK STORE | RFI : Escopo - Alteração Integração","Ajustes integração","Em andamento","RFI Post Mortem","60","R$ 18.000","R$ 18.000,00","Marina Santoro","Julianne","14 de agosto de 2025 10:23","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2025-002","nk-store","RFI-13","NK STORE | RFI : Escopo - Cálculo de Agrupamento em View","Cálculo de Agrupamento - Tecidos e Avios na View","A fazer","RFI Stand By","440","","R$ 132.000,00","Ju Ferré","Julianne","26 de agosto de 2025 13:37","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2025-002.md"
"RFI-2025-003","nk-store","RFI-19","NK STORE | RFI : Escopo - Alteração Integração (Parte 2)","Complemento dos ajustes de integração","Em andamento","RFI Post Mortem","8","R$ 2.400","R$ 2.400,00","Marina Santoro","Julianne","17 de setembro de 2025 15:37","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2025-003.md"
"RFI-2025-004","nk-store","RFI-29","NK STORE | RFI : Escopo - Alteração Integração (Parte 3)","Ajustes integração","Em andamento","RFI Post Mortem","8","R$ 2.400","R$ 2.400,00","Marina Santoro","Julianne","25 de novembro de 2025 11:45","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2025-004.md"
"RFI-2025-005","nk-store","RFI-32","NK Store | RFI: Escopo - Macroplan 2","Macroplan 2","Em andamento","RFI Q&A Negócios","10","","R$ 3.000,00","Ju Ferré","Julianne","28 de novembro de 2025 11:58","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2025-005.md"
"RFI-2026-001","nk-store","RFI-63","NK STORE | RFI : Escopo - Inclusão de Campo em View","Inclusão de Campo em View","Em andamento","RFI Em Andamento","4","R$ 1.200","R$ 1.200,00","Marina Santoro","Julianne","10 de fevereiro de 2026 13:57","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","nk-store","RFI-66","NK STORE | RFI : Escopo - Alteração Integração (parte 4)","Alteração de Regra","Em andamento","RFI Post Mortem","6","R$ 1.800","R$ 1.800,00","Andre","Julianne","19 de fevereiro de 2026 13:44","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","nk-store","RFI-69","NK STORE | RFI : Escopo - Alteração Integração (Parte 2 - Mensageria)","Complemento dos ajustes de integração","Concluídos","RFI Não Aceita","","","R$ 0,00","Marina Santoro","","24 de fevereiro de 2026 11:54","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2026-004","nk-store","RFI-90","NK STORE | RFI: Escopo - Suspensão do serviço de código de barras","Suspensão do serviço de código de barras na integração de escrita","Em andamento","RFI Liberada para Comercial negociar com Cliente","1,5","R$ 450","R$ 450,00","Marina Santoro","Julianne","9 de abril de 2026 11:56","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2026-004.md"
"RFI-2026-005","nk-store","RFI-97","NK STORE | RFI : Escopo - Atualizar custos mps empenhadas em 54 produtos","Atualizar custos de Mp dinâmicos","Em andamento","RFI Post Mortem","9","","R$ 2.700,00","Julianne Rodrigues","Julianne","27 de abril de 2026 15:52","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2026-005.md"
"RFI-2026-006","nk-store","RFI-108","NK STORE | RFI : Escopo - Módulo de Acervo","Módulo de Acervo - Coleção The Coolest","Concluídos","RFI Cancelada","9","","R$ 2.700,00","Marina Santoro","Julianne","8 de maio de 2026 15:03","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2026-006.md"
"RFI-2026-007","nk-store","RFI-109","NK STORE | RFI : Escopo - Alteração de parâmetro (dados contábeis)","Integração de escrita: Alteração de parâmetro de dados contábeis","Em andamento","RFI Liberada para Comercial negociar com Cliente","4","","R$ 1.200,00","Marina Santoro","Julianne","11 de maio de 2026 11:44","True","uMode/_Clientes/NK STORE/00_Institucional/_rfis/RFI-2026-007.md"
"RFI-2025-001","nv","RFI-18","NV | RFI : Escopo - Aperto de Botões","Aperto de botões","Em andamento","RFI Q&A Negócios","24","R$ 3.816","R$ 7.200,00","Marina Santoro","Fernanda","17 de setembro de 2025 15:15","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2025-002","nv","RFI-26","NV | RFI : Escopo - Integração de MP","Integração de MP","Em andamento","RFI Em Andamento","52","R$ 8.268","R$ 15.600,00","Marina Santoro","Fernanda","21 de novembro de 2025 11:23","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2025-002.md"
"RFI-2025-003","nv","RFI-25","NV | RFI : Escopo - Alteração Integração","Ajustes integração (status atual e filtro em mp)","Concluídos","RFI Entregue ao Cliente","24","R$ 3.816","R$ 7.200,00","Marina Santoro","","21 de novembro de 2025 10:50","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2025-003.md"
"RFI-2025-004","nv","RFI-34","NV | RFI : Escopo - Integração de Imagem de MP","Integração de Imagem de MP","A fazer","RFI Stand By","52","R$ 8.268","R$ 15.600,00","Marina Santoro","Fernanda","9 de dezembro de 2025 10:42","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2025-004.md"
"RFI-2026-001","nv","RFI-78","NV | RFI : Escopo - Relatório de Tarefas","Relatório de Tarefas (Padrão)","Concluídos","RFI Entregue ao Cliente","52","","R$ 15.600,00","Marina Santoro","Fernanda","2 de janeiro de 2026 15:11","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","nv","RFI-42","NV | RFI : Escopo - Alteração API","Adição/ Ajuste de Campos em RFI anteriormente aprovada (OS 118)","Concluídos","RFI Entregue ao Cliente","12","R$ 1.908","R$ 3.600,00","Andre","","9 de janeiro de 2026 10:18","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","nv","RFI-68","NV | RFI : Escopo - Alteração Integração (flag varia preço cor)","Flag varia preço cor","Em andamento","RFI Em Andamento","9","R$ 1.431","R$ 2.700,00","Marina Santoro","Fernanda","23 de fevereiro de 2026 14:48","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2026-004","nv","RFI-71","NV | RFI : Escopo - Custo de MP SA e pré custo","Custo de MP semiacabada/beneficia e relatório de pré custo","A fazer","RFI Não Iniciada","16","R$ 2.544","R$ 4.800,00","Marina Santoro","Fernanda","25 de fevereiro de 2026 14:54","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2026-004.md"
"RFI-2026-005","nv","RFI-73","NV | RFI : Escopo - Inclusão de campos em dataclass 7 e 10","Tech: Inclusão de campos na dataclass 7 e 10","Em andamento","RFI Post Mortem","2","R$ 600","R$ 600,00","Marina Santoro","Fernanda","4 de março de 2026 10:57","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2026-005.md"
"RFI-2026-006","nv","RFI-106","NV | RFI : Escopo - Otimização dos dados da API","Otimização de atualização dos dados da API","Em andamento","RFI Em Andamento","8","","R$ 2.400,00","Marina Santoro","Fernanda","7 de maio de 2026 16:54","True","uMode/_Clientes/NV/00_Institucional/_rfis/RFI-2026-006.md"
"RFI-2026-001","oficina-reserva","RFI-49","OFICINA| RFI : Integração Materiais","Mudança Processo","Concluídos","RFI Cancelada","","","R$ 0,00","Victor Aragão","","20 de janeiro de 2026 12:23","True","uMode/_Clientes/Oficina Reserva/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","oficina-reserva","RFI-94","Reserva/Oficina | RFI: Escopo - Campo de Coleção por Variante","Campo de Coleção por Variante","Em andamento","RFI Post Mortem","4","","R$ 1.200,00","Marina Santoro","Fernanda","20 de abril de 2026 11:16","True","uMode/_Clientes/Oficina Reserva/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-001","osklen","RFI-88","Osklen | RFI : Escopos - Ajustes de Ficha de Impressão","Alterações em Templates de Impressão de Ficha após a validação e homologação da entrega","Em andamento","RFI Liberada para Comercial negociar com Cliente","10","R$3.000,00","R$ 3.000,00","Ju Ferré","Julianne","2 de abril de 2026 15:58","True","uMode/_Clientes/Osklen/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","osklen","RFI-103","Osklen | RFI : Escopo : Enviar apenas 1 tamanho/preenchdio da tabela de meiddas para o template de impressão","Melhoria tabela de medidas e template","A fazer","RFI Não Iniciada","","","R$ 0,00","Julianne Rodrigues","Julianne","29 de abril de 2026 15:47","True","uMode/_Clientes/Osklen/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","osklen","RFI-101","Osklen | RFI : Escopo : Adicionar cabeçalho em todas as páginas das fichas de impressão :calçados , acessórios e vestuário","Melhoria e alterações em Templates de Impressão","A fazer","RFI Não Iniciada","","","R$ 0,00","Julianne Rodrigues","Julianne","29 de abril de 2026 15:42","True","uMode/_Clientes/Osklen/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2025-001","puket","RFI-10","PUKET | RFI : Escopo - Alteração de IP e Credencial","Alteração de IP e Credencial de Integração","Concluídos","RFI Entregue ao Cliente","4","R$ 1.200","R$ 1.200,00","Ju Ferré","","18 de agosto de 2025 17:10","True","uMode/_Clientes/Puket/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2025-002","puket","RFI-15","PUKET | RFI : Escopo - Lista de Entregáveis","Reestruturação de Conta","Concluídos","RFI Cancelada","","","R$ 0,00","Ju Ferré","","11 de setembro de 2025 09:28","True","uMode/_Clientes/Puket/00_Institucional/_rfis/RFI-2025-002.md"
"RFI-2025-003","puket","RFI-24","Puket | RFI : Escopo - Lista de Entregáveis","Alterar janela de integração","Concluídos","RFI Cancelada","","","R$ 0,00","Marina Santoro","","10 de novembro de 2025 15:54","True","uMode/_Clientes/Puket/00_Institucional/_rfis/RFI-2025-003.md"
"RFI-2025-004","puket","RFI-31","Puket | RFI: Escopo - Macroplan 2","Macroplan 2","Concluídos","RFI Entregue ao Cliente","6","R$ 1.500","R$ 1.800,00","Ju Ferré","","28 de novembro de 2025 08:56","True","uMode/_Clientes/Puket/00_Institucional/_rfis/RFI-2025-004.md"
"RFI-2026-001","puket","RFI-48","Puket | RFI : Escopo - Campos E-com","Campos Ecommerce e Integração","Em andamento","RFI Post Mortem","8","","R$ 2.400,00","Ju Ferré","Julianne","19 de janeiro de 2026 13:51","True","uMode/_Clientes/Puket/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","puket","RFI-56","PUKET | RFI : Escopo - Lista de Entregáveis","Conexão SMB","Em andamento","RFI Post Mortem","8","R$ 1.272","R$ 2.400,00","Andre","Julianne","5 de fevereiro de 2026 11:40","True","uMode/_Clientes/Puket/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","puket","RFI-89","Puket | RFI: Escopo - Exportação Dados","Exportação do Mapa","Em andamento","RFI Em Andamento","","R$","R$ 0,00","Ju Ferré","Julianne","7 de abril de 2026 10:55","True","uMode/_Clientes/Puket/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2026-004","puket","RFI-100","PUKET | RFI : Escopo - Conexão SMB","Conexão SMB","Em andamento","RFI Post Mortem","8","R$ 1.272","R$ 2.400,00","Ju Ferré","Julianne","29 de abril de 2026 08:41","True","uMode/_Clientes/Puket/00_Institucional/_rfis/RFI-2026-004.md"
"RFI-2026-005","puket","RFI-105","PUKET | RFI : Escopo - Alteração de IP e Credencial","Alteração de IP Integração","Concluídos","RFI Entregue ao Cliente","4","R$1,800 (acréscimo de 50% de taxa de urgência)","R$ 1.200,00","Marina Santoro","","6 de maio de 2026 16:44","True","uMode/_Clientes/Puket/00_Institucional/_rfis/RFI-2026-005.md"
"RFI-2026-001","reserva","RFI-94","Reserva/Oficina | RFI: Escopo - Campo de Coleção por Variante","Campo de Coleção por Variante","Em andamento","RFI Post Mortem","4","","R$ 1.200,00","Marina Santoro","Fernanda","20 de abril de 2026 11:16","True","uMode/_Clientes/Reserva/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","reserva","RFI-111","Reserva | RFI: Escopo - API","API Reserva","Em andamento","RFI Pronta para Estimar","24","","R$ 7.200,00","Marina Santoro","Fernanda","19 de maio de 2026 16:02","True","uMode/_Clientes/Reserva/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2025-001","vix","RFI-4","VIX | RFI : Escopo - Lista de Entregáveis","Ajustes integração","Concluídos","RFI Entregue ao Cliente","10","","R$ 3.000,00","Marina Santoro","","14 de agosto de 2025 10:31","True","uMode/_Clientes/VIX/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2025-002","vix","RFI-9","VIX | RFI : Escopo - Lista de Entregáveis","Alteração em massa","Concluídos","RFI Cancelada","","","R$ 0,00","Ju Ferré","","18 de agosto de 2025 11:17","True","uMode/_Clientes/VIX/00_Institucional/_rfis/RFI-2025-002.md"
"RFI-2025-003","vix","RFI-12","VIX | RFI : Escopo - Lista de Entregáveis","API Time Qualidade - OS 120","Concluídos","RFI Entregue ao Cliente","","R$ 15.100","R$ 0,00","Marina Santoro","","20 de agosto de 2025 16:48","True","uMode/_Clientes/VIX/00_Institucional/_rfis/RFI-2025-003.md"
"RFI-2026-001","vix","RFI-39","VIX | RFI : Escopo - Lista de Entregáveis","Inclusão de Campo em View pré-existente","Em andamento","RFI Post Mortem","4","R$ 636","R$ 1.200,00","Andre","Julianne","8 de janeiro de 2026 14:27","True","uMode/_Clientes/VIX/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","vix","RFI-47","VIX | RFI : Escopo - Nova Aposta","uPick 04/03","Concluídos","RFI Entregue ao Cliente","","Escopo","R$ 0,00","Ju Ferré","","19 de janeiro de 2026 13:39","True","uMode/_Clientes/VIX/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","vix","RFI-80","VIX | RFI: Escopo - Mudança no Código de Barras","Mudança no Código de Barras","Em andamento","RFI Post Mortem","18","5.400","R$ 5.400,00","Marina Santoro","Julianne","24 de março de 2026 10:25","True","uMode/_Clientes/VIX/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2026-004","vix","RFI-85","VIX | RFI: Escopo - Alteração Senha da Integração","Bloqueio de usuario uMode na integração","Concluídos","RFI Entregue ao Cliente","1,5","R$450","R$ 450,00","Marina Santoro","Julianne","1 de abril de 2026 15:24","True","uMode/_Clientes/VIX/00_Institucional/_rfis/RFI-2026-004.md"
"RFI-2026-005","vix","RFI-83","VIX | RFI: Escopo - Alteração Configuração Homologada","Tech: SMB Integração de Imagens","Concluídos","RFI Entregue ao Cliente","52","","R$ 15.600,00","Marina Santoro","Julianne","1 de abril de 2026 15:22","True","uMode/_Clientes/VIX/00_Institucional/_rfis/RFI-2026-005.md"
"RFI-2026-006","vix","RFI-92","VIX | RFI: Escopo - Inclusão de Campos na integração","Inclusão de 2 campos na integração","Em andamento","RFI Post Mortem","8","2.400","R$ 2.400,00","Julianne Rodrigues","Julianne","14 de abril de 2026 12:28","True","uMode/_Clientes/VIX/00_Institucional/_rfis/RFI-2026-006.md"
